,Unnamed: 0,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
28304,82359,das efx,if only,2019,hip hop,little like shiggity shoz bots hots rock kiggity kick drama like farmer pick crop hop diggity dig wigs baptist rapper guess rappist practice krayzie diggity knocker bolo like solo come work like chewbacca ease slick kick tush snaggle puss gad shop roof fell plus piggity shit like rarely crew beefus fliggity flip mould like gold cheebas youngest flipsy eldest hipper bone connect pelvis hickory dickory dock diggity wish sound like like sound like like like like sound like like lyric commercial,81,0.0015037595504265,0.0015037595472533,0.0015037594471525,0.0015037594481208,0.0015037594011192,0.0553475135239151,0.0015037594009128,0.0015037594595905,0.3278390673599136,0.05795376686612,0.00150375951255,0.0015037595184881,0.001503759503967,0.3777675221445417,0.0607488756634627,0.00150375940057,0.8191270442976281,0.5412404174037894,0.0232921920604337,2.945344129554656e-06,0.3889117889530091,0.5195045130538611,obscene,0.0142857142857142
28305,82360,das efx,freakit,2019,hip hop,freakit like freak like repeat freakit like nigga book crew sewer crew wreck cause flex gots excuse fluid make woozy wicked kick crew rip kick chicks perdue pick pluck stick cock santa somethin stockin rockin gotcha clockin grind check sound bind wonder freakit like freakit like freakit like freakit like freakit like freakit like freakit like watch freakit like freakit like maneovers heimlich rhyme krayz vertebraes spine chill rippin skills like awesome spade style boston buckle blast socket like nasa plus gettin hysterical lyrical concoctions hook pop dope swingin hit oakland freakit like swayz freakit like freakit like repeat freakit like doper dopest focus like quote write smoke heat try battle defeat weed bleep sellout cause know crew hell quick lingo thing days flip cause like pay dodge dope know gonna getcha cause rush like batter rush pitcher freakit like freakit like repeat freakit like cause black bust cap rough rap plus stuff flip script dust chap quickness wicked propaganda damn prop hickorydick slickest nigga thee rap sound nifty weight pound freakin flurry black skullie screamin chumps like niggas platform dope swingin hit oakland freakit like swayz freakit like freakit like repeat,192,0.0006578947398752,0.0760320071037899,0.0006578947885616,0.0006578947478088,0.0006578947399266,0.0006578947445612,0.0006578947377626,0.0251557969984839,0.5373953725575369,0.0006578947857067,0.0006578947771976,0.0006578947672044,0.0006578947631753,0.3381591927155457,0.0006578947637906,0.0006578947421772,0.8007148272500813,0.605158577545317,0.0287138842508878,3.694331983805668e-06,0.5919208573784006,0.51850348078939,obscene,0.0142857142857142
28306,82361,das efx,gimme dat micraphone,2019,hip hop,book gimme gimme microphone wreck destroy sermon repeat repeat oahh oahh like like stop word bond kick swing somethin like book drayz punk niggaz swell spark troop oops feel style develop safety stellar baby level crush shin roughest hardrocks fruity pebbles nigga hop know crew rock wanna test heavens like pepsi coca colaswola niggaz higher niggaz bitchups jibberjabber quick nigga stagger like rocka blanka bake like crocker momma need stop infilling pocket shit dread think toxic lyric commercial,78,0.0323360857750991,0.0015037594660946,0.0015037594705644,0.0015037594192989,0.0015037595862322,0.001503759400378,0.0015037594150997,0.0015037595454816,0.5893721059779125,0.0015037595424947,0.0015037594502855,0.0754820132831239,0.0015037594753092,0.147144066702895,0.0015037594647052,0.0015037595569119,0.7888010397487275,0.6507704535548546,0.0766054985998982,0.1285425101214574,0.5002061005770816,0.7427347080309215,obscene,0.0142857142857142
28307,82362,50 cent,hit you up,2019,hip hop,cent bank yayo club runnin bitch pissy drink snub niggas want crackin fuck fuck grip deck spray nickname chopper scrappy thats pussy line today look soldier hennessy coke little alize mood bust nigga head playin time game niggas lose life time fuckin playin cent bank yayo club runnin bitch pissy drink snub lyric commercial,54,0.0017543859657796,0.001754386047288,0.109242437393822,0.0634367534055335,0.0017543859649124,0.0355468855376777,0.0017543859649124,0.0017543860090782,0.6411962884680329,0.0017543859750486,0.0017543861010907,0.0017543859854415,0.0017543859649313,0.0017543860846212,0.0017543860292537,0.0017543859708426,0.6317556590490632,0.7775299335948516,0.0527098922790083,0.0,0.3652102225886232,0.7717646437005838,obscene,0.0142857142857142
28308,82363,digga d,hella bandz,2019,hip hop,soft whip turn chop pebs cling hella bandz pocket trapper look shit niggas stop deal lose profit,17,0.0052631578947373,0.0052631580462129,0.0052631580175203,0.0052631579252212,0.0052631578964664,0.0052631578959061,0.0052631582470373,0.0052631580714633,0.5951689839334238,0.0052631579510913,0.0052631582021436,0.1280693241773864,0.0052631578947373,0.0052631590619052,0.0052631580646451,0.0052631579021291,0.6989060976930577,0.6151578083737148,0.5873489832821118,0.0023582995951417,0.8382110469909316,0.624612900823329,obscene,0.0142857142857142
28309,82364,the lox,"can't stop, won't stop",2019,hip hop,blastin ozone kickin dojo loco pavin road oppose dodo goin head like stop know spittin rap watch beat drop rockin jump yeah know fly want teach stay elevate creatures hear shout like get respect look face effect jetsetting daily basis stop stop come city take mister captain pilot wanna spread wing people coach class folks scrape lyric commercial,58,0.0015037595059987,0.0015037595391366,0.00150375948024,0.0015037594480149,0.0314240333353974,0.0015037594699064,0.00150375940648,0.0015037595369033,0.404812956653632,0.0015037595621095,0.1789097179289297,0.1137271822181665,0.0015037595833224,0.0015037595487433,0.0015037594782375,0.0015037594106487,0.9382649193111664,0.7035356254647078,0.006113459953273,0.0,0.8670651277823578,0.666656255931116,obscene,0.0142857142857142
28310,82367,mobb deep,freestyle,2019,hip hop,killers dollar billers real niggas feel check stick realness infamous hear official queen bridge murderers mobb come equip warfare beware crime family nuff shots share wanna profile pose face stab brain nosebone streets cousin theirself land gunnin screw runnin like suppose come come close inside face wrong place cowards like body lace bullet hole speak wrong word touch army team guarantee time breathin simple word minor game deserve playa crew featherweight gunshots levitate nineteen mind older things real warm heart turn cold nigga decease story get tell nuttin fuck lyric commercial,91,0.0009930487587221,0.2953285272098748,0.0009930487526816,0.0009930487478201,0.0009930486600789,0.0009930487013109,0.0771235508183803,0.1978693401364289,0.3095857368147187,0.0009930487142211,0.0009930487168638,0.0009930487298727,0.0009930488763818,0.0009930487533071,0.0009930487620808,0.0245288112250682,0.4075598397054045,0.7925287798374483,0.4879512931237882,0.0,0.4991755976916736,0.9239215479001944,obscene,0.0142857142857142
28311,82369,rakim,it's the r,2019,hip hop,lowkey need host brand know flow cause swerve observe closely smoke tree smoke kind dope poetry cause fully load drop place place crazy different nationalities overseas emcee know rakim know jewelry like jacuzzi overheat like sushi swimmin open comin rakim popular demand classic wasn say come rain hard stimulate brain feel hard grain real large drive insane leave dam silk bras plus real cup spill spill bar deal kid hennessy grill feel charge know time real steal cars stag battle field reveal scar train hard cause game squads play pain gain couple yards know deal deal card appeal broads job oveod body part like buns steel kick blahzay blah smoke cigar manamassage comin rakim popular demand classic wasn inner city suburbs street poet jiggiest word peep know read hear plus reserve swerve eager know deep flow know flow spit tech effect quicker moet high smoke ahead roll microphone hold heat blow dough till fold touch wanna drop baby girl coed reload coat know control tell blow moment ahead baby hold comin rakim popular demand classic wasn,176,0.0339310973491313,0.0005425936358054,0.0005425936291031,0.0005425936181191,0.0005425936142147,0.00054259361052,0.037638587838781,0.1693856886258008,0.4990678823959063,0.0005425936230811,0.1168604156115599,0.0005425936325271,0.0005425936149356,0.0179233845149609,0.0005425936588171,0.0176083341362302,0.811545543160403,0.6690510986334384,0.1506015568288723,0.0,0.8454245671887882,0.5825695457155419,obscene,0.0142857142857142
28312,82370,nappy roots,these walls (dirty mc edit),2019,hip hop,hmmmmmmmm wall closin long suppose grin lose forgive hmmmmmmmmmm wall closin long suppose grin lose forgive hmmmmmmmmmm darkness approach fumble blunt roach look hopeless totally unfocused stumble porch poasty closest associate break couple sell dope humble folk come grow folk dumb slow poke hours death grow close live utmost plus extra point visualize gold post eat duck roast live live utmost cause pressure point lyric commercial,66,0.0016447369134159,0.3297325848534164,0.4307973843441058,0.0649632662225754,0.0016447368547238,0.0016447368553111,0.001644736937375,0.0016447370365891,0.001644737005316,0.0016447368708919,0.0576153694338625,0.0016447369856415,0.0016447368783243,0.0016447369248213,0.0016447370202017,0.0016447368494917,0.6035957976822268,0.7384560162038817,0.1606417275519353,0.0,0.6001648804616652,0.7217130304770278,world/life,0.0142857142857142
28313,82371,denzel curry,equalizer,2019,hip hop,ultimate equalizer synthesizer ultimately brutalize shit york fuck population contemplation kill competition confrontation reevaluation want revelation strap look like lederhosen stop doctor say couldn hold motherfucker nigga attila mix magic fuckin magic wand ugly ugly face mother lovely loneliness phoniness reside tongue radiant come undo instantaneous begin escape suicide thoughts murder write death anonymous break promise feel return later fuck halo wouldn respawn equalizer synthesizer ultimately brutalize shit york fuck population contemplation kill competition confrontation reevaluation want revelation strap look like lederhosen stop fuck bitch drug bape niggas hate relate diamonds fake niggas waste sauce taste rollie come face bitch like diamonds place iceberg neck watch chest cop patek fuck bitch right sleep band waist time waste lick lick lick reup check account double band band lick reup check account double band band watch flex shawty want cause sippin moet look panties ride wave yeah pay ride wave yeah,149,0.0006578947662099,0.1450597933170656,0.0006578948042178,0.0006578948160085,0.0320763682467533,0.0006578947460406,0.027090394650493,0.0006578947779364,0.5045394174778048,0.0006578947801519,0.1297900362439723,0.1033140785404674,0.0145862209581861,0.0006578947950791,0.0006578947786086,0.0006578948216483,0.7573919636087945,0.7713252826705638,0.0035230959067227,0.0021761133603238,0.3507831821929101,0.5375230938143414,obscene,0.0142857142857142
